# table produced by DamageProfiler
# using mapped file RxA007_BEST_012.ReedbuckBh_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: RxA007_BEST_012.ReedbuckBh_Human_nc.Target.rmdup.noMicro.bam
pos	3pG>A
1	0.0379057274721949
2	0.032018711186386
3	0.016777531411677753
4	0.019429222119422104
5	0.022274043100675458
6	0.020819341840161182
7	0.02086004958536377
8	0.017213642213642213
9	0.02031160779835223
10	0.01891891891891892
11	0.017383641752783785
12	0.0180564166150031
13	0.01555520102105935
14	0.017609861522452572
15	0.013264554163596167
16	0.015667905023421094
17	0.015129682997118156
18	0.014853057982525814
19	0.013684461771023948
20	0.013535846383882898
21	0.013733029898767951
22	0.014271071513048962
23	0.015437661625264477
24	0.01554240631163708
25	0.015691197238349285
