# table produced by DamageProfiler
# using mapped file RxA007_BEST_012.ReedbuckBh_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: RxA007_BEST_012.ReedbuckBh_Human_nc.Target.rmdup.noMicro.bam
# Std: strand of reads
Std	Length	Occurrences
+	30	692
+	31	739
+	32	778
+	33	860
+	34	869
+	35	888
+	36	977
+	37	934
+	38	896
+	39	910
+	40	911
+	41	836
+	42	847
+	43	796
+	44	765
+	45	723
+	46	684
+	47	746
+	48	637
+	49	553
+	50	541
+	51	570
+	52	551
+	53	532
+	54	454
+	55	409
+	56	367
+	57	347
+	58	343
+	59	306
+	60	258
+	61	274
+	62	252
+	63	242
+	64	219
+	65	199
+	66	195
+	67	183
+	68	191
+	69	151
+	70	145
+	71	150
+	72	117
+	73	111
+	74	101
+	75	102
+	76	82
+	77	79
+	78	85
+	79	70
+	80	74
+	81	67
+	82	61
+	83	57
+	84	52
+	85	58
+	86	52
+	87	54
+	88	38
+	89	49
+	90	36
+	91	41
+	92	28
+	93	27
+	94	30
+	95	28
+	96	20
+	97	17
+	98	33
+	99	25
+	100	25
+	101	21
+	102	24
+	103	25
+	104	13
+	105	14
+	106	20
+	107	5
+	108	16
+	109	15
+	110	14
+	111	13
+	112	13
+	113	15
+	114	9
+	115	11
+	116	8
+	117	4
+	118	8
+	119	7
+	120	3
+	121	8
+	122	8
+	123	8
+	124	6
+	125	4
+	126	1
+	127	10
+	128	5
+	129	3
+	130	3
+	131	2
+	132	8
+	133	3
+	134	4
+	135	2
+	136	3
+	137	2
+	138	7
+	139	4
+	140	5
+	141	1
+	142	5
+	143	4
+	144	5
+	145	1
+	146	1
+	147	1
+	148	1
+	149	1
+	150	3
+	152	1
+	153	1
+	154	1
+	155	2
+	156	3
+	158	2
+	159	2
+	161	1
+	162	1
+	163	2
+	164	5
+	165	1
+	166	1
+	167	1
+	171	2
+	172	1
+	177	2
+	179	1
+	187	1
+	200	1
+	206	1
+	222	1
-	30	707
-	31	748
-	32	823
-	33	823
-	34	851
-	35	914
-	36	901
-	37	921
-	38	934
-	39	930
-	40	893
-	41	878
-	42	831
-	43	828
-	44	771
-	45	732
-	46	735
-	47	699
-	48	684
-	49	650
-	50	607
-	51	513
-	52	511
-	53	465
-	54	446
-	55	399
-	56	376
-	57	354
-	58	344
-	59	289
-	60	276
-	61	255
-	62	251
-	63	246
-	64	229
-	65	208
-	66	185
-	67	172
-	68	156
-	69	163
-	70	122
-	71	134
-	72	113
-	73	137
-	74	125
-	75	102
-	76	101
-	77	95
-	78	101
-	79	72
-	80	86
-	81	68
-	82	61
-	83	68
-	84	60
-	85	47
-	86	61
-	87	60
-	88	56
-	89	55
-	90	36
-	91	41
-	92	39
-	93	32
-	94	29
-	95	39
-	96	23
-	97	37
-	98	28
-	99	31
-	100	14
-	101	14
-	102	14
-	103	15
-	104	19
-	105	23
-	106	23
-	107	16
-	108	17
-	109	15
-	110	9
-	111	13
-	112	18
-	113	12
-	114	8
-	115	9
-	116	12
-	117	7
-	118	10
-	119	13
-	120	6
-	121	4
-	122	7
-	123	3
-	124	8
-	125	7
-	126	2
-	127	6
-	128	5
-	129	6
-	130	6
-	131	4
-	132	2
-	133	3
-	134	4
-	135	5
-	136	2
-	137	2
-	139	6
-	140	1
-	141	5
-	142	2
-	144	1
-	145	3
-	146	2
-	147	1
-	148	3
-	149	2
-	150	2
-	151	2
-	153	2
-	154	2
-	155	1
-	157	1
-	161	3
-	164	3
-	165	1
-	166	3
-	167	1
-	168	1
-	169	3
-	174	1
-	176	1
-	178	1
-	185	1
-	198	1
-	220	1
