# table produced by DamageProfiler
# using mapped file RxA007_SCR_002.ReedbuckBh_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: RxA007_SCR_002.ReedbuckBh_Human_nc.Target.rmdup.noMicro.bam
pos	3pG>A
1	0.026651335646674743
2	0.022228923448067893
3	0.01816976127320955
4	0.01798299860612129
5	0.01765991716520939
6	0.01763196277901889
7	0.017723807278157668
8	0.01819397451222724
9	0.019028604025751773
10	0.01705153847707942
11	0.016423873128606593
12	0.017750064744905075
13	0.01634105893297739
14	0.015838471768830856
15	0.016055600322320708
16	0.01567688313779155
17	0.016545601291364002
18	0.016399717940969075
19	0.0168797443068318
20	0.01567379293778525
21	0.016011791786132535
22	0.016065219997602204
23	0.01611706925929638
24	0.01616646499910737
25	0.015281149269767997
