# table produced by DamageProfiler
# using mapped file RxA007_SCR_002.ReedbuckBh_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: RxA007_SCR_002.ReedbuckBh_Human_nc.Target.rmdup.noMicro.bam
# Std: strand of reads
Std	Length	Occurrences
+	30	6485
+	31	6644
+	32	6178
+	33	6154
+	34	5953
+	35	5691
+	36	5442
+	37	5093
+	38	4926
+	39	4630
+	40	4458
+	41	4180
+	42	3973
+	43	3804
+	44	3560
+	45	3245
+	46	3128
+	47	2884
+	48	2670
+	49	2579
+	50	2393
+	51	2164
+	52	1994
+	53	1869
+	54	1814
+	55	1585
+	56	1441
+	57	1359
+	58	1264
+	59	1140
+	60	1048
+	61	1015
+	62	888
+	63	856
+	64	836
+	65	735
+	66	706
+	67	582
+	68	540
+	69	517
+	70	477
+	71	467
+	72	392
+	73	402
+	74	372
+	75	347
+	76	333
+	77	264
+	78	263
+	79	271
+	80	211
+	81	196
+	82	210
+	83	197
+	84	172
+	85	151
+	86	142
+	87	131
+	88	113
+	89	122
+	90	106
+	91	96
+	92	91
+	93	87
+	94	85
+	95	66
+	96	81
+	97	65
+	98	79
+	99	60
+	100	55
+	101	68
+	102	61
+	103	47
+	104	45
+	105	46
+	106	36
+	107	31
+	108	40
+	109	46
+	110	31
+	111	36
+	112	21
+	113	27
+	114	31
+	115	38
+	116	33
+	117	18
+	118	18
+	119	9
+	120	18
+	121	18
+	122	14
+	123	15
+	124	16
+	125	15
+	126	9
+	127	15
+	128	10
+	129	10
+	130	10
+	131	11
+	132	8
+	133	8
+	134	5
+	135	2
+	136	3
+	137	7
+	138	5
+	139	6
+	140	6
+	141	4
+	142	5
+	143	1
+	144	3
+	145	8
+	146	3
+	147	3
+	148	1
+	149	4
+	151	2
+	152	1
+	154	3
+	155	2
+	156	3
+	157	2
+	159	2
+	160	1
+	162	1
+	163	2
+	164	2
+	165	1
+	167	1
+	169	2
+	172	1
+	173	3
+	174	1
+	178	1
+	179	1
+	181	3
+	185	1
+	188	1
+	191	1
+	195	1
+	201	2
+	202	1
+	205	1
+	210	1
+	211	1
+	220	1
+	224	1
+	252	1
-	30	6424
-	31	6431
-	32	6268
-	33	6081
-	34	5852
-	35	5670
-	36	5384
-	37	5006
-	38	4834
-	39	4567
-	40	4213
-	41	4123
-	42	3966
-	43	3764
-	44	3467
-	45	3296
-	46	3026
-	47	2870
-	48	2666
-	49	2530
-	50	2323
-	51	2094
-	52	2043
-	53	1822
-	54	1758
-	55	1587
-	56	1403
-	57	1366
-	58	1308
-	59	1173
-	60	1117
-	61	1001
-	62	937
-	63	882
-	64	788
-	65	713
-	66	666
-	67	618
-	68	519
-	69	502
-	70	498
-	71	446
-	72	426
-	73	407
-	74	390
-	75	338
-	76	323
-	77	286
-	78	250
-	79	244
-	80	241
-	81	218
-	82	203
-	83	163
-	84	165
-	85	143
-	86	156
-	87	137
-	88	147
-	89	124
-	90	122
-	91	95
-	92	99
-	93	80
-	94	89
-	95	80
-	96	70
-	97	70
-	98	59
-	99	67
-	100	48
-	101	52
-	102	46
-	103	44
-	104	46
-	105	37
-	106	50
-	107	39
-	108	45
-	109	42
-	110	34
-	111	22
-	112	28
-	113	23
-	114	28
-	115	19
-	116	22
-	117	22
-	118	18
-	119	18
-	120	15
-	121	14
-	122	14
-	123	10
-	124	10
-	125	16
-	126	14
-	127	8
-	128	11
-	129	5
-	130	9
-	131	9
-	132	5
-	133	10
-	134	5
-	135	6
-	136	3
-	137	7
-	138	2
-	139	6
-	140	7
-	141	3
-	142	3
-	143	6
-	144	4
-	145	5
-	146	3
-	147	3
-	148	1
-	150	3
-	151	2
-	152	3
-	155	5
-	156	2
-	157	4
-	158	3
-	159	2
-	161	2
-	162	1
-	163	2
-	164	1
-	166	1
-	167	1
-	173	2
-	174	2
-	175	1
-	179	1
-	182	1
-	188	1
-	198	1
-	204	1
-	217	1
