# table produced by DamageProfiler
# using mapped file ScA005_BEST_017.BuffaloCape_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: ScA005_BEST_017.BuffaloCape_Human_nc.Target.rmdup.noMicro.bam
pos	3pG>A
1	0.02728250410369616
2	0.018131503848260355
3	0.011216399149100754
4	0.009594966574911521
5	0.012566686425607588
6	0.012159548008720484
7	0.010658854328990837
8	0.00994921445754507
9	0.008610235265583313
10	0.008586111807470544
11	0.007456922162804516
12	0.008031307496860488
13	0.007287979296189428
14	0.006956262128675922
15	0.006399480963755935
16	0.007049971859356023
17	0.0062146892655367235
18	0.006388642413487134
19	0.005270863836017569
20	0.005867999070415989
21	0.0056762235737040255
22	0.005369010650956264
23	0.005298623509762138
24	0.005285809190953467
25	0.004776566051851639
