# table produced by DamageProfiler
# using mapped file ScA005_BEST_017.BuffaloCape_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: ScA005_BEST_017.BuffaloCape_Human_nc.Target.rmdup.noMicro.bam
pos	5pC>T
1	0.02268716914544996
2	0.02004868967492482
3	0.011695906432748537
4	0.010633319467554076
5	0.011893788468972079
6	0.01133598250315744
7	0.009915545824210198
8	0.008206330597889801
9	0.009138459688570914
10	0.008506939054301593
11	0.007194665418811418
12	0.0077203331020124916
13	0.007704069630675135
14	0.007191488107518642
15	0.006104788999525841
16	0.00664442016360039
17	0.005953615118035604
18	0.006244346532053339
19	0.0052009181509137924
20	0.005303339355440293
21	0.004714934482658876
22	0.004638643912495705
23	0.0051186196980589505
24	0.004691075514874142
25	0.004490371607034915
