# table produced by DamageProfiler
# using mapped file ScA005_SCR_007.BuffaloCape_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: ScA005_SCR_007.BuffaloCape_Human_nc.Target.rmdup.noMicro.bam
pos	3pG>A
1	0.00806878393299316
2	0.006641809993451737
3	0.004500177561986598
4	0.004268680731499381
5	0.003947291361639824
6	0.003604394588787098
7	0.004012855664300111
8	0.004104368220463207
9	0.004038998079922451
10	0.0038148587822129892
11	0.003616992483053037
12	0.003473796424501599
13	0.003707233100734684
14	0.0033819018878171302
15	0.003637279658882151
16	0.003320069481231444
17	0.003513969111777684
18	0.003591153379399163
19	0.003653242790217905
20	0.003610774501903807
21	0.0035413517598790758
22	0.0035018858667320843
23	0.0033341330331383297
24	0.003671327603374445
25	0.003613678260551086
