SampleID,CGG,MuseumID,Box,occurrenceID,GBIF URL,3D model MorphoSource URL,StudyPhase,Sequenced,species_identifiable_genetically,Collagen extracted,Taxon_morphology,Taxon_genetic,Taxon_assigned,Taxon_assigned_common,Taxon_plots,Taxon_plots_common,name of site or location where sample originated,Site_short,stratigraphic context,site location,site latitude,site longitube,latest chronometric age,latest chronometric age reference system,earliest chronometric age,earliest chronometric age reference system,chronometric age protocol,chronometric age remarks,geological epoch,MIS,sample description,material_group,material_type,subsample target for dna,subsample target for collagen,site references,state_province_region,country,museum_institution,sampling permit,sampling permit issuing authority,sahra caseid,export permit,export permit issuing authority,project acronym,project title,msca grant no.,call reference,notes
PaA001,CGG_1_024854,CL3 BBG Q13 4.1667,,SAMC:Archaeology:CL3-BBG-Q13-4.1667:CGG_1_024854,https://www.gbif.org/occurrence/4947704357,https://www.morphosource.org/concern/biological_specimens/000803419,Phase 1,Yes,No,Yes,Syncerus antiquus,not applicable,Syncerus antiquus,Long-horned buffalo,Syncerus antiquus,Long-horned buffalo,Boomplaas Cave ,BPA,CL3,South Africa: Western Cape Province,-33.370556,22.158611,15119,BP,16846,BP,associated absolute dating,"Between CL1 and CL4. upper and lower 2sigma bounds of Members CL1 and CL4, Later Stone Age. (Faith 2013; Faith 2012a)",Pleistocene,MIS 2,Tooth | Molar | Partial,Tooth,Molar,Crown/internal cementum,Dentine,https://doi.org/10.1016/j.jhevol.2013.09.001; https://doi.org/10.1080/00438243.1979.9979735; https://doi.org/10.1111/j.1472-4642.2011.00841.x,Western Cape,South Africa,Iziko Museums of South Africa,21081119SB0813E,Heritage Western Cape (HWC),16929,3348,South African Heritage Resources Agency (SAHRA),PalaeoBovids,Palaeogenomes of a lost world: Ancient bovids of the submerged Palaeo-Agulhas Plain of southern Africa,101026951,H2020-MSCA-IF-2020,
PaA002,CGG_1_024855,CL3 BG O14 4.1636,,SAMC:Archaeology:CL3-BG-O14-4.1636:CGG_1_024855,https://www.gbif.org/occurrence/4947704381,https://www.morphosource.org/concern/biological_specimens/000809772,Phase 1,Yes,No,Yes,Syncerus antiquus,not applicable,Syncerus antiquus,Long-horned buffalo,Syncerus antiquus,Long-horned buffalo,Boomplaas Cave ,BPA,CL3,South Africa: Western Cape Province,-33.370556,22.158611,15119,BP,16846,BP,associated absolute dating,"Between CL1 and CL4. upper and lower 2sigma bounds of Members CL1 and CL4, Later Stone Age. (Faith 2013; Faith 2012a)",Pleistocene,MIS 2,Tooth | Incisor | Complete,Tooth,Incisor,Root cementum,Dentine,https://doi.org/10.1016/j.jhevol.2013.09.001; https://doi.org/10.1080/00438243.1979.9979735; https://doi.org/10.1111/j.1472-4642.2011.00841.x,Western Cape,South Africa,Iziko Museums of South Africa,21081119SB0813E,Heritage Western Cape (HWC),16929,3348,South African Heritage Resources Agency (SAHRA),PalaeoBovids,Palaeogenomes of a lost world: Ancient bovids of the submerged Palaeo-Agulhas Plain of southern Africa,101026951,H2020-MSCA-IF-2020,
PaA003,CGG_1_024856,1B 10 lnC 41783,,SAMC:Archaeology:1B-10-lnC-41783:CGG_1_024856,https://www.gbif.org/occurrence/4947704390,https://www.morphosource.org/concern/biological_specimens/000809744,Phase 1,Yes,No,Yes,Syncerus antiquus,not applicable,Syncerus antiquus,Long-horned buffalo,Syncerus antiquus,Long-horned buffalo,Klasies River Mouth ,KRM,1B 10,South Africa: Eastern Cape Province,-34.108103,24.390139,60800,BP,89000,BP,associated absolute dating,"OSL/TL and AAR of correlated Layer 1 16. Correlated with Layer 1 16: lower bound is OSL/TL estimate. Upper bound is AAR estimate. Both for Layer 16 Cave 1, SAS U, Middle Stone Age II. (Morrissey et al 2022; Grine et al 2017; Feathers 2002; Bada & Deems 1975)",Pleistocene,MIS 4/5,Tooth | Premolar | Complete,Tooth,Molar,Root cementum,Dentine,https://doi.org/10.1016/j.jhevol.2016.12.001; https://link.springer.com/article/10.1007/s41982-022-00110-2; https://doi.org/10.17159/sajs.2016/20160051; https://doi.org/10.1016/j.jhevol.2006.06.003; https://doi.org/10.2307/3887730; https://doi.org/10.1016/j.jhevol.2016.12.001,Eastern Cape,South Africa,Iziko Museums of South Africa,21081119SB0813E,Heritage Western Cape (HWC),16929,3348,South African Heritage Resources Agency (SAHRA),PalaeoBovids,Palaeogenomes of a lost world: Ancient bovids of the submerged Palaeo-Agulhas Plain of southern Africa,101026951,H2020-MSCA-IF-2020,
PaA004,CGG_1_024857,1 13 v-vi,,SAMC:Archaeology:1-13-v-vi:CGG_1_024857,https://www.gbif.org/occurrence/4947704453,https://www.morphosource.org/concern/biological_specimens/000809802,Phase 1,Yes,No,Yes,Syncerus antiquus,not applicable,Syncerus antiquus,Long-horned buffalo,Syncerus antiquus,Long-horned buffalo,Klasies River Mouth ,KRM,1 13,South Africa: Eastern Cape Province,-34.108103,24.390139,51700,BP,78100,BP,associated absolute dating,"SG-OSL and OSL/TL of layer. lower bound is SG-OSL estimate. Upper bound is OSL/TL estimate, WS, Middle Stone Age IV. (Grine et al 2017; Feathers 2002; Nami et al 2016)",Pleistocene,MIS 4,Tooth | Molar | Complete,Tooth,Molar,Root cementum,Dentine,https://doi.org/10.1016/j.jhevol.2016.12.001; https://link.springer.com/article/10.1007/s41982-022-00110-2; https://doi.org/10.17159/sajs.2016/20160051; https://doi.org/10.1016/j.jhevol.2006.06.003; https://doi.org/10.2307/3887730; https://doi.org/10.1016/j.jhevol.2016.12.001,Eastern Cape,South Africa,Iziko Museums of South Africa,21081119SB0813E,Heritage Western Cape (HWC),16929,3348,South African Heritage Resources Agency (SAHRA),PalaeoBovids,Palaeogenomes of a lost world: Ancient bovids of the submerged Palaeo-Agulhas Plain of southern Africa,101026951,H2020-MSCA-IF-2020,
PaA005,CGG_1_024858,27201 (1 15t H),,SAMC:Archaeology:27201-1-15t-H:CGG_1_024858,https://www.gbif.org/occurrence/4947704597,https://www.morphosource.org/concern/biological_specimens/000812467,Phase 1,Yes,No,Yes,Syncerus antiquus,not applicable,Syncerus antiquus,Long-horned buffalo,Syncerus antiquus,Long-horned buffalo,Klasies River Mouth ,KRM,1 15,South Africa: Eastern Cape Province,-34.108103,24.390139,65800,BP,105000,BP,associated absolute dating,"OSL/TL and delta-18O shell of layer. lower bound is TL-OSL estimate. Upper bound is that of MIS5c. Both for Layer 1 15., SAS W, Middle Stone Age II. (Grine et al 2017; Feathers 2002; Shackleton 1982; Deacon et al 1988)",Pleistocene,MIS 5,Tooth | Premolar | Complete,Tooth,Molar,Root cementum,Dentine,https://doi.org/10.1016/j.jhevol.2016.12.001; https://link.springer.com/article/10.1007/s41982-022-00110-2; https://doi.org/10.17159/sajs.2016/20160051; https://doi.org/10.1016/j.jhevol.2006.06.003; https://doi.org/10.2307/3887730; https://doi.org/10.1016/j.jhevol.2016.12.001,Eastern Cape,South Africa,Iziko Museums of South Africa,21081119SB0813E,Heritage Western Cape (HWC),16929,3348,South African Heritage Resources Agency (SAHRA),PalaeoBovids,Palaeogenomes of a lost world: Ancient bovids of the submerged Palaeo-Agulhas Plain of southern Africa,101026951,H2020-MSCA-IF-2020,
PaA006,CGG_1_024859,41074 EC Q+,,SAMC:Archaeology:41074-EC-Q+:CGG_1_024859,https://www.gbif.org/occurrence/4947704427,https://www.morphosource.org/concern/biological_specimens/000812979,Phase 1,Yes,No,Yes,Syncerus antiquus,not applicable,Syncerus antiquus,Long-horned buffalo,Syncerus antiquus,Long-horned buffalo,Klasies River Mouth ,KRM,??,South Africa: Eastern Cape Province,-34.108103,24.390139,51700,BP,130000,BP,associated absolute dating,"Middle Stone Age at KRM. Unknown layer, but Middle Stone Age, which at KRM is ~56.3-130ka. Lower bound is that of Layer 13 in Cave 1. Upper bound is that of MIS5e. Middle Stone Age. (Grine et al 2017)",Pleistocene,MIS 4/5,Teeth in partial mandible or maxilla,Tooth,2xMolars?,Root cementum,Dentine,https://doi.org/10.1016/j.jhevol.2016.12.001; https://link.springer.com/article/10.1007/s41982-022-00110-2; https://doi.org/10.17159/sajs.2016/20160051; https://doi.org/10.1016/j.jhevol.2006.06.003; https://doi.org/10.2307/3887730; https://doi.org/10.1016/j.jhevol.2016.12.001,Eastern Cape,South Africa,Iziko Museums of South Africa,21081119SB0813E,Heritage Western Cape (HWC),16929,3348,South African Heritage Resources Agency (SAHRA),PalaeoBovids,Palaeogenomes of a lost world: Ancient bovids of the submerged Palaeo-Agulhas Plain of southern Africa,101026951,H2020-MSCA-IF-2020,
PaA007,CGG_1_024860,15442 (1 16 A). Subpacket KRM 1 16 Homioceras),,SAMC:Archaeology:15442-1-16-A:CGG_1_024860,https://www.gbif.org/occurrence/4947704554,https://www.morphosource.org/concern/biological_specimens/000812495,Phase 1,Yes,No,Yes,Syncerus antiquus,not applicable,Syncerus antiquus,Long-horned buffalo,Syncerus antiquus,Long-horned buffalo,Klasies River Mouth ,KRM,1 16,South Africa: Eastern Cape Province,-34.108103,24.390139,60800,BP,89000,BP,associated absolute dating,"OSL/TL and AAR of layer. lower bound is OSL/TL estimate. Upper bound is AAR estimate. Both for Layer 16 Cave 1, SAS U, Middle Stone Age II. (Grine et al 2017; Feathers 2002; Bada & Deems 1975)",Pleistocene,MIS 4/5,Tooth | Incisor | Complete,Tooth,Incisor,Root cementum,Dentine,https://doi.org/10.1016/j.jhevol.2016.12.001; https://link.springer.com/article/10.1007/s41982-022-00110-2; https://doi.org/10.17159/sajs.2016/20160051; https://doi.org/10.1016/j.jhevol.2006.06.003; https://doi.org/10.2307/3887730; https://doi.org/10.1016/j.jhevol.2016.12.001,Eastern Cape,South Africa,Iziko Museums of South Africa,21081119SB0813E,Heritage Western Cape (HWC),16929,3348,South African Heritage Resources Agency (SAHRA),PalaeoBovids,Palaeogenomes of a lost world: Ancient bovids of the submerged Palaeo-Agulhas Plain of southern Africa,101026951,H2020-MSCA-IF-2020,
PaA008,CGG_1_024861,20909 (Subpacket: KRM 1 19. Microweae Pelerovis 17 analysed by SB 2012/2013 Isotopes + DTMA),,SAMC:Archaeology:20909:CGG_1_024861,https://www.gbif.org/occurrence/4947704425,https://www.morphosource.org/concern/biological_specimens/000812980,Phase 1,Yes,No,Yes,Syncerus antiquus,not applicable,Syncerus antiquus,Long-horned buffalo,Syncerus antiquus,Long-horned buffalo,Klasies River Mouth ,KRM,1 19,South Africa: Eastern Cape Province,-34.108103,24.390139,110000,BP,130000,BP,associated absolute dating,"AAR and delta-18O shell of layer. lower bound is AAR estimate of published Layer 38 which is equivalent to excavated Layer 19. Upper bound is that of MIS5e., LBS, Middle Stone Age I.. (Grine et al 2017; Bada & Deems 1975; Shackleton 1982)",Pleistocene,MIS 5,Tooth | Premolar | Complete,Tooth,Molar,Root cementum,Dentine,https://doi.org/10.1016/j.jhevol.2016.12.001; https://link.springer.com/article/10.1007/s41982-022-00110-2; https://doi.org/10.17159/sajs.2016/20160051; https://doi.org/10.1016/j.jhevol.2006.06.003; https://doi.org/10.2307/3887730; https://doi.org/10.1016/j.jhevol.2016.12.001,Eastern Cape,South Africa,Iziko Museums of South Africa,21081119SB0813E,Heritage Western Cape (HWC),16929,3348,South African Heritage Resources Agency (SAHRA),PalaeoBovids,Palaeogenomes of a lost world: Ancient bovids of the submerged Palaeo-Agulhas Plain of southern Africa,101026951,H2020-MSCA-IF-2020,
PaA009,CGG_1_024862,020 1 14 K-L. (Subpacket: KRM 14 Homioceras),,SAMC:Archaeology:020-1-14-K-L:CGG_1_024862,https://www.gbif.org/occurrence/4947704396,https://www.morphosource.org/concern/biological_specimens/000812985,Phase 1,Yes,No,Yes,Syncerus antiquus,not applicable,Syncerus antiquus,Long-horned buffalo,Syncerus antiquus,Long-horned buffalo,Klasies River Mouth ,KRM,1 14,South Africa: Eastern Cape Province,-34.108103,24.390139,83100,BP,108300,BP,associated absolute dating,"U-Th of layer. lower and upper bounds are U-Th estimates of Layer 14 Cave 1, SAS R, Middle Stone Age II. (Grine et al 2017; Vogel 2001)",Pleistocene,MIS 5,Tooth | Molar? | Partial,Tooth,Molar,Root cementum,Dentine,https://doi.org/10.1016/j.jhevol.2016.12.001; https://link.springer.com/article/10.1007/s41982-022-00110-2; https://doi.org/10.17159/sajs.2016/20160051; https://doi.org/10.1016/j.jhevol.2006.06.003; https://doi.org/10.2307/3887730; https://doi.org/10.1016/j.jhevol.2016.12.001,Eastern Cape,South Africa,Iziko Museums of South Africa,21081119SB0813E,Heritage Western Cape (HWC),16929,3348,South African Heritage Resources Agency (SAHRA),PalaeoBovids,Palaeogenomes of a lost world: Ancient bovids of the submerged Palaeo-Agulhas Plain of southern Africa,101026951,H2020-MSCA-IF-2020,
PaA014,CGG_1_026017,YGL-D8-6,102,SAMC:Archaeology:YGL-D8-6:CGG_1_026017,https://www.gbif.org/occurrence/4947704556,https://www.morphosource.org/concern/biological_specimens/000812496,Phase 2,Yes,Yes,No,Syncerus antiquus,Syncerus antiquus,Syncerus antiquus,Long-horned buffalo,Syncerus antiquus,Long-horned buffalo,Nelson Bay Cave ,NBC,YGL,South Africa: Western Cape Province,-34.101111,23.375556,21000,BP,23500,BP,associated absolute dating,Calibrated and modeled 14C of layer. 2sigma range of modeled date of Layer YGL. (Loftus et al 2016),Pleistocene,MIS 2,Tooth | Molar | Partial lower left Lm2,Tooth,Molar,Root cementum,not applicable,https://doi.org/10.1016/j.quascirev.2019.105974; https://doi.org/10.1016/0033-5894(72)90034-8; https://doi.org/10.1017/RDC.2016.12,Western Cape,South Africa,Iziko Museums of South Africa,21081119SB0813E,Heritage Western Cape (HWC),20048,3884,South African Heritage Resources Agency (SAHRA),PalaeoBovids,Palaeogenomes of a lost world: Ancient bovids of the submerged Palaeo-Agulhas Plain of southern Africa,101026951,H2020-MSCA-IF-2020,Previously sampled by someone (KAH=K. Ann Horsburgh?) for racemization assay in 2005
