SeqPool,SampleID,CGG,Taxon_morphology,Site_short,Site_long,LibraryID,variable,reference,reference_genbank,value,species_identifiable,Taxon_plots_common
PoolScreen_02,PaA001,CGG_1_024854,Syncerus antiquus,BPA,Boomplaas Cave,SCR_023,seq_reads_pairs,,,2031709,No,Long-horned buffalo
PoolScreen_06,PaA002,CGG_1_024855,Syncerus antiquus,BPA,Boomplaas Cave,SCR_063,seq_reads_pairs,,,4314811,No,Long-horned buffalo
PoolScreen_02,PaA003,CGG_1_024856,Syncerus antiquus,KRM,Klasies River Mouth,SCR_014,seq_reads_pairs,,,2028864,No,Long-horned buffalo
PoolScreen_04,PaA004,CGG_1_024857,Syncerus antiquus,KRM,Klasies River Mouth,PaA004_combined,seq_reads_pairs,,,36667472,No,Long-horned buffalo
PoolScreen_02,PaA005,CGG_1_024858,Syncerus antiquus,KRM,Klasies River Mouth,SCR_024,seq_reads_pairs,,,1875644,No,Long-horned buffalo
PoolScreen_02,PaA006,CGG_1_024859,Syncerus antiquus,KRM,Klasies River Mouth,SCR_025,seq_reads_pairs,,,1654266,No,Long-horned buffalo
PoolScreen_06,PaA007,CGG_1_024860,Syncerus antiquus,KRM,Klasies River Mouth,SCR_064,seq_reads_pairs,,,4906710,No,Long-horned buffalo
PoolScreen_01,PaA008,CGG_1_024861,Syncerus antiquus,KRM,Klasies River Mouth,SCR_006,seq_reads_pairs,,,5259943,No,Long-horned buffalo
PoolScreen_05,PaA009,CGG_1_024862,Syncerus antiquus,KRM,Klasies River Mouth,SCR_053,seq_reads_pairs,,,2364128,No,Long-horned buffalo
PoolScreen_12,PaA014,CGG_1_026017,Syncerus antiquus,NBC,Nelson Bay Cave,SCR_142,seq_reads_pairs,,,6597507,Yes,Long-horned buffalo
PoolScreen_12,PaA015,CGG_1_026018,Syncerus antiquus,NBC,Nelson Bay Cave,SCR_143,seq_reads_pairs,,,2514486,Yes,Long-horned buffalo
PoolScreen_12,PaA016,CGG_1_026019,Syncerus antiquus,NBC,Nelson Bay Cave,SCR_152,seq_reads_pairs,,,5083777,No,Long-horned buffalo
PoolScreen_12,PaA017,CGG_1_026020,Syncerus antiquus,NBC,Nelson Bay Cave,SCR_145,seq_reads_pairs,,,5639657,No,Long-horned buffalo
PoolScreen_12,PaA018,CGG_1_026021,Syncerus antiquus,NBC,Nelson Bay Cave,SCR_153,seq_reads_pairs,,,5672487,Yes,Long-horned buffalo
PoolScreen_12,PaA019,CGG_1_026022,Syncerus antiquus,NBC,Nelson Bay Cave,SCR_154,seq_reads_pairs,,,5275002,No,Long-horned buffalo
PoolScreen_12,PaA020,CGG_1_026023,Syncerus antiquus,NBC,Nelson Bay Cave,SCR_146,seq_reads_pairs,,,5526409,No,Long-horned buffalo
PoolScreen_12,PaA021,CGG_1_026024,Syncerus antiquus,NBC,Nelson Bay Cave,SCR_147,seq_reads_pairs,,,2720786,No,Long-horned buffalo
PoolScreen_12,PaA022,CGG_1_026025,Syncerus antiquus,NBC,Nelson Bay Cave,SCR_144,seq_reads_pairs,,,3390904,No,Long-horned buffalo
PoolScreen_12,PaA023,CGG_1_026026,Syncerus antiquus,NBC,Nelson Bay Cave,SCR_149,seq_reads_pairs,,,4839501,No,Long-horned buffalo
PoolScreen_12,PaA024,CGG_1_026027,Syncerus antiquus,NBC,Nelson Bay Cave,SCR_155,seq_reads_pairs,,,5263827,No,Long-horned buffalo
PoolScreen_12,PaA025,CGG_1_026028,Syncerus antiquus,NBC,Nelson Bay Cave,SCR_156,seq_reads_pairs,,,5726294,No,Long-horned buffalo
PoolScreen_12,PaA026,CGG_1_026029,Syncerus antiquus,NBC,Nelson Bay Cave,SCR_150,seq_reads_pairs,,,6462715,No,Long-horned buffalo
PoolScreen_12,PaA027,CGG_1_026030,Syncerus antiquus,NBC,Nelson Bay Cave,SCR_157,seq_reads_pairs,,,5617124,No,Long-horned buffalo
PoolScreen_12,PaA028,CGG_1_026031,Syncerus antiquus,NBC,Nelson Bay Cave,SCR_151,seq_reads_pairs,,,6149700,No,Long-horned buffalo
PoolScreen_12,PaA033,CGG_1_026036,Syncerus antiquus,KRM,Klasies River Mouth,SCR_141,seq_reads_pairs,,,5757575,No,Long-horned buffalo
PoolScreen_05,PcA001,CGG_1_024845,Pelea capreolus,KRM,Klasies River Mouth,SCR_059,seq_reads_pairs,,,3382339,No,Grey rhebok
PoolScreen_05,PcA002,CGG_1_024846,Pelea capreolus,KRM,Klasies River Mouth,SCR_060,seq_reads_pairs,,,5825349,Yes,Grey rhebok
PoolScreen_03,PcA003,CGG_1_024847,Pelea capreolus,KRM,Klasies River Mouth,SCR_042,seq_reads_pairs,,,6400437,Yes,Grey rhebok
PoolScreen_03,PcA004,CGG_1_024848,Pelea capreolus,KRM,Klasies River Mouth,SCR_043,seq_reads_pairs,,,1843961,No,Grey rhebok
PoolScreen_04,PcA005,CGG_1_024849,Pelea capreolus,KRM,Klasies River Mouth,PcA005_combined,seq_reads_pairs,,,17211015,No,Grey rhebok
PoolScreen_03,PcA006,CGG_1_024850,Pelea capreolus,BPA,Boomplaas Cave,SCR_044,seq_reads_pairs,,,1437747,No,Grey rhebok
PoolScreen_03,PcA007,CGG_1_024851,Pelea capreolus,BPA,Boomplaas Cave,SCR_045,seq_reads_pairs,,,2175803,No,Grey rhebok
PoolScreen_03,PcA008,CGG_1_024852,Pelea capreolus,BPA,Boomplaas Cave,SCR_046,seq_reads_pairs,,,1811200,No,Grey rhebok
PoolScreen_03,PcA009,CGG_1_024853,Pelea capreolus,BPA,Boomplaas Cave,SCR_047,seq_reads_pairs,,,4862297,No,Grey rhebok
PoolScreen_12,PcA010,CGG_1_025779,Pelea capreolus,NBC,Nelson Bay Cave,SCR_125,seq_reads_pairs,,,5655337,Yes,Grey rhebok
PoolScreen_12,PcA011,CGG_1_025780,Pelea capreolus,NBC,Nelson Bay Cave,SCR_126,seq_reads_pairs,,,5228895,No,Grey rhebok
PoolScreen_12,PcA012,CGG_1_025781,Pelea capreolus,NBC,Nelson Bay Cave,SCR_127,seq_reads_pairs,,,5488511,Yes,Grey rhebok
PoolScreen_12,PcA013,CGG_1_025782,Pelea capreolus,NBC,Nelson Bay Cave,SCR_128,seq_reads_pairs,,,5231133,No,Grey rhebok
PoolScreen_12,PcA014,CGG_1_025783,Pelea capreolus,NBC,Nelson Bay Cave,SCR_129,seq_reads_pairs,,,6071636,No,Grey rhebok
PoolScreen_12,PcA015,CGG_1_025784,Pelea capreolus,NBC,Nelson Bay Cave,SCR_130,seq_reads_pairs,,,5939385,Yes,Grey rhebok
PoolScreen_12,PcA016,CGG_1_025785,Pelea capreolus,NBC,Nelson Bay Cave,SCR_131,seq_reads_pairs,,,5456277,Yes,Grey rhebok
PoolScreen_12,PcA017,CGG_1_025786,Pelea capreolus,NBC,Nelson Bay Cave,SCR_132,seq_reads_pairs,,,4395002,Yes,Grey rhebok
PoolScreen_12,PcA018,CGG_1_025787,Pelea capreolus,NBC,Nelson Bay Cave,SCR_158,seq_reads_pairs,,,5659503,Yes,Grey rhebok
PoolScreen_12,PcA019,CGG_1_025788,Pelea capreolus,NBC,Nelson Bay Cave,SCR_159,seq_reads_pairs,,,5905232,No,Grey rhebok
PoolScreen_12,PcA020,CGG_1_025789,Pelea capreolus,NBC,Nelson Bay Cave,SCR_133,seq_reads_pairs,,,5723890,No,Grey rhebok
PoolScreen_12,PcA021,CGG_1_025790,Pelea capreolus,NBC,Nelson Bay Cave,SCR_160,seq_reads_pairs,,,6402980,No,Grey rhebok
PoolScreen_12,PcA022,CGG_1_025791,Pelea capreolus,NBC,Nelson Bay Cave,SCR_161,seq_reads_pairs,,,5648002,No,Grey rhebok
PoolScreen_12,PcA023,CGG_1_025792,Pelea capreolus,NBC,Nelson Bay Cave,SCR_162,seq_reads_pairs,,,4724679,No,Grey rhebok
PoolScreen_12,PcA024,CGG_1_025793,Pelea capreolus,NBC,Nelson Bay Cave,SCR_163,seq_reads_pairs,,,5407302,No,Grey rhebok
PoolScreen_12,PcA025,CGG_1_025794,Pelea capreolus,NBC,Nelson Bay Cave,SCR_164,seq_reads_pairs,,,5839762,No,Grey rhebok
PoolScreen_12,PcA026,CGG_1_025795,Pelea capreolus,NBC,Nelson Bay Cave,SCR_165,seq_reads_pairs,,,5615976,Yes,Grey rhebok
PoolScreen_01,PS01_NC,,Negative control,NC,Negative Control,SCR_010,seq_reads_pairs,,,2755480,,
PoolScreen_02,PS02_LNC,,Negative control,NC,Negative Control,SCR_041,seq_reads_pairs,,,310053,,
PoolScreen_02,PS02_NC,,Negative control,NC,Negative Control,SCR_027,seq_reads_pairs,,,266045,,
PoolScreen_03,PS03_LNC,,Negative control,NC,Negative Control,SCR_052,seq_reads_pairs,,,133736,,
PoolScreen_03,PS03_NC,,Negative control,NC,Negative Control,SCR_049,seq_reads_pairs,,,104450,,
PoolScreen_04,PS04_LNC,,Negative control,NC,Negative Control,BEST_021,seq_reads_pairs,,,64088,,
PoolScreen_04,PS04_NC,,Negative control,NC,Negative Control,BEST_020,seq_reads_pairs,,,101388,,
PoolScreen_05,PS05_NC,,Negative control,NC,Negative Control,SCR_061,seq_reads_pairs,,,1034272,,
PoolScreen_06,PS06_NC01,,Negative control,NC,Negative Control,SCR_069,seq_reads_pairs,,,308153,,
PoolScreen_06,PS06_NC02,,Negative control,NC,Negative Control,SCR_079,seq_reads_pairs,,,327173,,
PoolScreen_12,PS12_NC01,,Negative control,NC,Negative Control,SCR_148,seq_reads_pairs,,,189988,,
PoolScreen_12,PS12_NC02,,Negative control,NC,Negative Control,SCR_196,seq_reads_pairs,,,26838,,
PoolScreen_03,RmA001,CGG_1_024867,Raphicerus melanotis,NBC,Nelson Bay Cave,SCR_048,seq_reads_pairs,,,5622663,Yes,Cape grysbok
PoolScreen_06,RmA002,CGG_1_024868,Raphicerus melanotis,NBC,Nelson Bay Cave,SCR_078,seq_reads_pairs,,,6584631,Yes,Cape grysbok
