# table produced by DamageProfiler
# using mapped file PaA004.BuffaloCape_Human_nc.Target.rmdup.noMicro_BEST_013.bam
# Sample ID: PaA004.BuffaloCape_Human_nc.Target.rmdup.noMicro_BEST_013.bam
pos	3pG>A
1	0.004016064257028112
2	0.017467248908296942
3	0.022321428571428572
4	0.014705882352941176
5	0.019230769230769232
6	0.021052631578947368
7	0.005847953216374269
8	0.03431372549019608
9	0.01639344262295082
10	0.017142857142857144
11	0.022099447513812154
12	0.005434782608695652
13	0.016853932584269662
14	0.02072538860103627
15	0.015306122448979591
16	0.010471204188481676
17	0.011428571428571429
18	0.01744186046511628
19	0.010752688172043012
20	0.026455026455026454
21	0.011428571428571429
22	0.03553299492385787
23	0.016666666666666666
24	0.01092896174863388
25	0.005405405405405406
