# table produced by DamageProfiler
# using mapped file PaA004.BuffaloCape_Human_nc.Target.rmdup.noMicro_BEST_015.bam
# Sample ID: PaA004.BuffaloCape_Human_nc.Target.rmdup.noMicro_BEST_015.bam
pos	5pC>T
1	0.0064516129032258064
2	0.0
3	0.011560693641618497
4	0.0
5	0.029239766081871343
6	0.038461538461538464
7	0.005494505494505495
8	0.011363636363636364
9	0.0
10	0.018404907975460124
11	0.012048192771084338
12	0.011695906432748537
13	0.03508771929824561
14	0.017241379310344827
15	0.018867924528301886
16	0.016853932584269662
17	0.005952380952380952
18	0.024096385542168676
19	0.02702702702702703
20	0.024691358024691357
21	0.01675977653631285
22	0.006289308176100629
23	0.0
24	0.01764705882352941
25	0.022857142857142857
