# table produced by DamageProfiler
# using mapped file PaA004.BuffaloCape_Human_nc.Target.rmdup.noMicro_SCR_005.bam
# Sample ID: PaA004.BuffaloCape_Human_nc.Target.rmdup.noMicro_SCR_005.bam
pos	3pG>A
1	0.03317535545023697
2	0.028985507246376812
3	0.019157088122605363
4	0.03482587064676617
5	0.0481283422459893
6	0.06341463414634146
7	0.034482758620689655
8	0.02577319587628866
9	0.049019607843137254
10	0.028846153846153848
11	0.026595744680851064
12	0.0228310502283105
13	0.029411764705882353
14	0.031413612565445025
15	0.02127659574468085
16	0.016042780748663103
17	0.03980099502487562
18	0.035
19	0.03278688524590164
20	0.045454545454545456
21	0.01932367149758454
22	0.016304347826086956
23	0.030612244897959183
24	0.04838709677419355
25	0.059782608695652176
