# table produced by DamageProfiler
# using mapped file PaA009.BuffaloCape_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: PaA009.BuffaloCape_Human_nc.Target.rmdup.noMicro.bam
pos	5pC>T
1	0.024725274725274724
2	0.016339869281045753
3	0.019230769230769232
4	0.03389830508474576
5	0.025236593059936908
6	0.03237410071942446
7	0.039711191335740074
8	0.018726591760299626
9	0.016556291390728478
10	0.0353356890459364
11	0.029304029304029304
12	0.013888888888888888
13	0.027874564459930314
14	0.026845637583892617
15	0.017605633802816902
16	0.030716723549488054
17	0.02962962962962963
18	0.034482758620689655
19	0.017857142857142856
20	0.03676470588235294
21	0.038461538461538464
22	0.030716723549488054
23	0.03345724907063197
24	0.026936026936026935
25	0.01818181818181818
