# table produced by DamageProfiler
# using mapped file PaA011.BuffaloCape_Human_nc.Target.rmdup.noMicro_SCR_090.bam
# Sample ID: PaA011.BuffaloCape_Human_nc.Target.rmdup.noMicro_SCR_090.bam
pos	5pC>T
1	0.024390243902439025
2	0.023255813953488372
3	0.0
4	0.0
5	0.06451612903225806
6	0.02564102564102564
7	0.02702702702702703
8	0.02564102564102564
9	0.025
10	0.0
11	0.05555555555555555
12	0.025
13	0.0
14	0.0
15	0.0
16	0.023809523809523808
17	0.02631578947368421
18	0.0
19	0.0
20	0.0
21	0.024390243902439025
22	0.02631578947368421
23	0.02
24	0.023809523809523808
25	0.030303030303030304
