# table produced by DamageProfiler
# using mapped file PaA013.BuffaloCape_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: PaA013.BuffaloCape_Human_nc.Target.rmdup.noMicro.bam
# Std: strand of reads
Std	Length	Occurrences
+	30	1064
+	31	657
+	32	420
+	33	300
+	34	244
+	35	271
+	36	209
+	37	196
+	38	172
+	39	183
+	40	160
+	41	157
+	42	185
+	43	180
+	44	145
+	45	140
+	46	139
+	47	114
+	48	107
+	49	101
+	50	100
+	51	91
+	52	99
+	53	95
+	54	81
+	55	68
+	56	57
+	57	65
+	58	59
+	59	48
+	60	43
+	61	48
+	62	34
+	63	32
+	64	34
+	65	22
+	66	22
+	67	28
+	68	20
+	69	23
+	70	22
+	71	12
+	72	17
+	73	18
+	74	16
+	75	15
+	76	16
+	77	13
+	78	18
+	79	18
+	80	4
+	81	15
+	82	8
+	83	7
+	84	10
+	85	11
+	86	6
+	87	11
+	88	3
+	89	6
+	90	4
+	91	3
+	92	3
+	93	2
+	94	2
+	95	5
+	96	2
+	97	5
+	98	5
+	99	1
+	100	4
+	101	1
+	102	1
+	103	1
+	104	1
+	105	1
+	107	4
+	108	2
+	109	2
+	112	1
+	114	4
+	115	1
+	116	1
+	118	1
+	119	1
+	125	1
+	126	1
+	129	2
+	130	1
+	131	1
+	133	1
+	137	1
+	140	1
+	143	1
+	150	1
+	153	1
+	154	1
+	156	1
+	157	1
+	158	1
+	162	1
+	164	1
-	30	1028
-	31	642
-	32	439
-	33	302
-	34	238
-	35	188
-	36	246
-	37	183
-	38	171
-	39	189
-	40	161
-	41	147
-	42	167
-	43	167
-	44	153
-	45	135
-	46	123
-	47	106
-	48	102
-	49	102
-	50	89
-	51	95
-	52	84
-	53	86
-	54	66
-	55	65
-	56	53
-	57	43
-	58	51
-	59	39
-	60	41
-	61	45
-	62	37
-	63	24
-	64	31
-	65	25
-	66	22
-	67	22
-	68	17
-	69	19
-	70	19
-	71	17
-	72	24
-	73	19
-	74	20
-	75	17
-	76	6
-	77	10
-	78	11
-	79	14
-	80	8
-	81	9
-	82	14
-	83	11
-	84	8
-	85	6
-	86	7
-	87	12
-	88	10
-	89	6
-	91	3
-	92	3
-	93	2
-	94	6
-	95	4
-	96	6
-	97	3
-	98	4
-	99	5
-	100	2
-	101	5
-	102	3
-	103	7
-	104	3
-	105	3
-	106	3
-	107	3
-	108	2
-	109	2
-	110	4
-	111	1
-	112	1
-	113	1
-	114	1
-	116	1
-	118	4
-	119	1
-	120	1
-	121	1
-	122	2
-	125	1
-	126	2
-	128	1
-	133	1
-	134	1
-	145	1
-	146	1
-	150	1
-	152	2
-	153	1
-	170	1
-	172	1
