# table produced by DamageProfiler
# using mapped file PaA013.BuffaloCape_Human_nc.Target.rmdup.noMicro_SCR_092.bam
# Sample ID: PaA013.BuffaloCape_Human_nc.Target.rmdup.noMicro_SCR_092.bam
# Std: strand of reads
Std	Length	Occurrences
+	30	1007
+	31	621
+	32	377
+	33	264
+	34	217
+	35	237
+	36	179
+	37	171
+	38	151
+	39	157
+	40	140
+	41	143
+	42	162
+	43	166
+	44	123
+	45	124
+	46	119
+	47	101
+	48	95
+	49	95
+	50	84
+	51	83
+	52	91
+	53	80
+	54	71
+	55	62
+	56	48
+	57	60
+	58	52
+	59	40
+	60	36
+	61	43
+	62	31
+	63	29
+	64	25
+	65	20
+	66	17
+	67	26
+	68	16
+	69	18
+	70	20
+	71	10
+	72	16
+	73	17
+	74	14
+	75	13
+	76	12
+	77	13
+	78	17
+	79	16
+	80	2
+	81	14
+	82	8
+	83	7
+	84	9
+	85	10
+	86	6
+	87	11
+	88	3
+	89	6
+	90	3
+	91	3
+	92	3
+	93	2
+	94	2
+	95	4
+	96	1
+	97	5
+	98	4
+	99	1
+	100	4
+	101	1
+	102	1
+	103	1
+	104	1
+	105	1
+	107	4
+	108	2
+	109	2
+	112	1
+	114	4
+	115	1
+	118	1
+	119	1
+	125	1
+	126	1
+	129	2
+	130	1
+	133	1
+	137	1
+	140	1
+	143	1
+	150	1
+	153	1
+	154	1
+	156	1
+	157	1
+	158	1
+	162	1
+	164	1
-	30	990
-	31	591
-	32	397
-	33	277
-	34	212
-	35	161
-	36	217
-	37	158
-	38	147
-	39	177
-	40	139
-	41	124
-	42	140
-	43	155
-	44	135
-	45	117
-	46	103
-	47	97
-	48	89
-	49	89
-	50	75
-	51	82
-	52	76
-	53	73
-	54	54
-	55	56
-	56	47
-	57	42
-	58	42
-	59	35
-	60	35
-	61	38
-	62	36
-	63	22
-	64	30
-	65	22
-	66	21
-	67	20
-	68	17
-	69	18
-	70	16
-	71	13
-	72	21
-	73	17
-	74	18
-	75	16
-	76	6
-	77	9
-	78	9
-	79	13
-	80	8
-	81	9
-	82	13
-	83	10
-	84	7
-	85	6
-	86	6
-	87	10
-	88	9
-	89	6
-	91	3
-	92	3
-	93	2
-	94	5
-	95	4
-	96	5
-	97	3
-	98	3
-	99	5
-	100	2
-	101	5
-	102	3
-	103	6
-	104	3
-	105	3
-	106	3
-	107	3
-	108	2
-	109	2
-	110	4
-	111	1
-	112	1
-	113	1
-	114	1
-	116	1
-	118	4
-	119	1
-	120	1
-	121	1
-	122	1
-	125	1
-	126	2
-	128	1
-	133	1
-	145	1
-	146	1
-	150	1
-	152	2
-	153	1
-	170	1
-	172	1
