# table produced by DamageProfiler
# using mapped file PcA003.ReedbuckBh_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: PcA003.ReedbuckBh_Human_nc.Target.rmdup.noMicro.bam
pos	5pC>T
1	0.07336050389032975
2	0.03486590038314176
3	0.019751513220770945
4	0.018524536886577837
5	0.012281835811247576
6	0.011912640635340834
7	0.012576356449874237
8	0.022433460076045627
9	0.015426147319706903
10	0.018153727307840865
11	0.018771998435666796
12	0.016209957545349287
13	0.019319938176197836
14	0.01664145234493192
15	0.015791551519936834
16	0.018313620755436855
17	0.01568334578043316
18	0.015738963531669866
19	0.014458772958186792
20	0.01891998423334647
21	0.019447685725398678
22	0.022222222222222223
23	0.015342250196695516
24	0.017919750681729647
25	0.01934465061192262
