# table produced by DamageProfiler
# using mapped file PcA005.ReedbuckBh_Human_nc.Target.rmdup.noMicro_BEST_011.bam
# Sample ID: PcA005.ReedbuckBh_Human_nc.Target.rmdup.noMicro_BEST_011.bam
pos	3pG>A
1	0.020134228187919462
2	0.0
3	0.013071895424836602
4	0.011695906432748537
5	0.024844720496894408
6	0.028169014084507043
7	0.0
8	0.0
9	0.013513513513513514
10	0.007407407407407408
11	0.0
12	0.007042253521126761
13	0.0
14	0.013793103448275862
15	0.034013605442176874
16	0.02112676056338028
17	0.006622516556291391
18	0.0
19	0.015267175572519083
20	0.013422818791946308
21	0.006802721088435374
22	0.014705882352941176
23	0.032679738562091505
24	0.008333333333333333
25	0.006369426751592357
