# table produced by DamageProfiler
# using mapped file PcA005.ReedbuckBh_Human_nc.Target.rmdup.noMicro_SCR_001.bam
# Sample ID: PcA005.ReedbuckBh_Human_nc.Target.rmdup.noMicro_SCR_001.bam
# Std: strand of reads
Std	Length	Occurrences
+	30	131
+	31	47
+	32	23
+	33	12
+	34	5
+	35	4
+	36	2
+	38	3
+	39	2
+	41	1
+	43	3
+	45	2
+	46	1
+	47	2
+	50	2
+	53	1
+	60	1
+	63	1
+	67	1
+	69	1
+	77	1
+	89	1
+	90	1
+	104	1
+	115	1
+	116	1
+	126	1
+	143	1
+	177	1
+	198	1
-	30	135
-	31	41
-	32	16
-	33	10
-	34	3
-	36	3
-	37	1
-	38	3
-	39	1
-	42	2
-	43	3
-	44	2
-	45	2
-	46	2
-	47	1
-	49	1
-	50	2
-	51	1
-	52	3
-	55	1
-	57	1
-	60	1
-	63	4
-	64	2
-	67	1
-	68	1
-	77	1
-	80	1
-	84	1
-	87	2
-	97	1
-	98	1
-	117	1
-	123	1
-	124	1
-	128	1
-	143	1
-	151	1
-	156	1
