# table produced by DamageProfiler
# using mapped file PcA019.ReedbuckBh_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: PcA019.ReedbuckBh_Human_nc.Target.rmdup.noMicro.bam
pos	3pG>A
1	0.07920792079207921
2	0.03361344537815126
3	0.034722222222222224
4	0.0440251572327044
5	0.043209876543209874
6	0.012121212121212121
7	0.02040816326530612
8	0.05263157894736842
9	0.05172413793103448
10	0.06470588235294118
11	0.034482758620689655
12	0.03488372093023256
13	0.02
14	0.04294478527607362
15	0.03636363636363636
16	0.03763440860215054
17	0.026490066225165563
18	0.023668639053254437
19	0.006211180124223602
20	0.013071895424836602
21	0.03825136612021858
22	0.024844720496894408
23	0.03125
24	0.020833333333333332
25	0.028735632183908046
