# table produced by DamageProfiler
# using mapped file PcA025.ReedbuckBh_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: PcA025.ReedbuckBh_Human_nc.Target.rmdup.noMicro.bam
# Std: strand of reads
Std	Length	Occurrences
+	30	225
+	31	130
+	32	93
+	33	92
+	34	96
+	35	97
+	36	87
+	37	111
+	38	97
+	39	112
+	40	99
+	41	105
+	42	96
+	43	93
+	44	90
+	45	98
+	46	80
+	47	95
+	48	79
+	49	85
+	50	81
+	51	102
+	52	80
+	53	68
+	54	81
+	55	86
+	56	60
+	57	70
+	58	57
+	59	57
+	60	75
+	61	46
+	62	67
+	63	61
+	64	47
+	65	51
+	66	51
+	67	46
+	68	56
+	69	52
+	70	54
+	71	37
+	72	52
+	73	33
+	74	40
+	75	50
+	76	36
+	77	39
+	78	29
+	79	29
+	80	34
+	81	28
+	82	34
+	83	27
+	84	26
+	85	26
+	86	23
+	87	25
+	88	25
+	89	15
+	90	15
+	91	22
-	30	193
-	31	129
-	32	114
-	33	72
-	34	84
-	35	103
-	36	95
-	37	89
-	38	98
-	39	76
-	40	95
-	41	105
-	42	108
-	43	80
-	44	99
-	45	91
-	46	108
-	47	96
-	48	76
-	49	89
-	50	103
-	51	84
-	52	99
-	53	64
-	54	74
-	55	82
-	56	63
-	57	79
-	58	80
-	59	72
-	60	63
-	61	51
-	62	64
-	63	63
-	64	77
-	65	53
-	66	63
-	67	46
-	68	52
-	69	42
-	70	42
-	71	52
-	72	39
-	73	33
-	74	34
-	75	36
-	76	34
-	77	36
-	78	37
-	79	30
-	80	32
-	81	24
-	82	33
-	83	37
-	84	30
-	85	12
-	86	21
-	87	15
-	88	26
-	89	11
-	90	14
-	91	16
