# table produced by DamageProfiler
# using mapped file RmA032.GrysbokCape_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: RmA032.GrysbokCape_Human_nc.Target.rmdup.noMicro.bam
pos	3pG>A
1	0.010123734533183352
2	0.004770992366412214
3	0.003401360544217687
4	0.002407704654895666
5	0.003878975950349108
6	0.0032599837000814994
7	0.001589825119236884
8	0.001520912547528517
9	0.0024
10	0.0025020850708924102
11	0.0032310177705977385
12	0.0024630541871921183
13	0.005636070853462158
14	0.0007993605115907274
15	0.002407704654895666
16	0.001583531274742676
17	0.0016906170752324597
18	0.0
19	0.001584786053882726
20	0.0
21	0.003367003367003367
22	0.0008077544426494346
23	0.00234192037470726
24	0.001589825119236884
25	0.00078003120124805
