# table produced by DamageProfiler
# using mapped file RmA038.GrysbokCape_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: RmA038.GrysbokCape_Human_nc.Target.rmdup.noMicro.bam
pos	5pC>T
1	0.01811524378492966
2	0.011243510772789627
3	0.006584145377929945
4	0.005304659498207885
5	0.0036726128016789086
6	0.0029433583000311086
7	0.00304893041553971
8	0.00315884476534296
9	0.0026768068446201185
10	0.002351673117436676
11	0.0021030748404563915
12	0.002736372146611939
13	0.0019177753805585522
14	0.0019408054342552159
15	0.0025164769322947875
16	0.0020104641023156672
17	0.0024098708309234626
18	0.002057859347706444
19	0.0020388349514563107
20	0.001712700518634664
21	0.0022553865348625174
22	0.002285992217898833
23	0.0020805796250061193
24	0.002205205253719769
25	0.0024422091111326047
