# table produced by DamageProfiler
# using mapped file RmA060.GrysbokCape_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: RmA060.GrysbokCape_Human_nc.Target.rmdup.noMicro.bam
# Std: strand of reads
Std	Length	Occurrences
+	30	287
+	31	190
+	32	175
+	33	153
+	34	155
+	35	142
+	36	170
+	37	144
+	38	129
+	39	135
+	40	121
+	41	126
+	42	115
+	43	88
+	44	98
+	45	94
+	46	83
+	47	90
+	48	69
+	49	87
+	50	57
+	51	66
+	52	55
+	53	49
+	54	40
+	55	45
+	56	44
+	57	37
+	58	34
+	59	26
+	60	36
+	61	38
+	62	18
+	63	12
+	64	17
+	65	16
+	66	10
+	67	10
+	68	9
+	69	12
+	70	8
+	71	13
+	72	11
+	73	3
+	74	3
+	75	3
+	76	5
+	77	5
+	78	5
+	79	7
+	80	1
+	81	4
+	82	2
+	83	3
+	84	4
+	86	1
+	88	1
+	90	2
-	30	256
-	31	195
-	32	196
-	33	140
-	34	144
-	35	142
-	36	135
-	37	159
-	38	129
-	39	107
-	40	128
-	41	106
-	42	120
-	43	104
-	44	92
-	45	90
-	46	115
-	47	79
-	48	84
-	49	73
-	50	84
-	51	67
-	52	45
-	53	43
-	54	56
-	55	35
-	56	45
-	57	27
-	58	27
-	59	31
-	60	22
-	61	22
-	62	28
-	63	19
-	64	16
-	65	21
-	66	9
-	67	8
-	68	9
-	69	8
-	70	7
-	71	2
-	72	9
-	73	8
-	74	3
-	75	4
-	76	1
-	77	4
-	78	4
-	79	2
-	80	3
-	81	4
-	82	5
-	83	2
-	84	2
-	86	1
-	87	1
-	89	1
-	90	1
