# table produced by DamageProfiler
# using mapped file RxA001.ReedbuckBh_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: RxA001.ReedbuckBh_Human_nc.Target.rmdup.noMicro.bam
pos	5pC>T
1	0.055350553505535055
2	0.030303030303030304
3	0.0196078431372549
4	0.011730205278592375
5	0.00909090909090909
6	0.017142857142857144
7	0.02185792349726776
8	0.026936026936026935
9	0.012307692307692308
10	0.01238390092879257
11	0.020114942528735632
12	0.018018018018018018
13	0.01488095238095238
14	0.013937282229965157
15	0.022435897435897436
16	0.0056657223796034
17	0.015105740181268883
18	0.01875
19	0.011940298507462687
20	0.018691588785046728
21	0.01892744479495268
22	0.024390243902439025
23	0.01048951048951049
24	0.019736842105263157
25	0.015015015015015015
