# table produced by DamageProfiler
# using mapped file RxA001.ReedbuckBh_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: RxA001.ReedbuckBh_Human_nc.Target.rmdup.noMicro.bam
# Std: strand of reads
Std	Length	Occurrences
+	30	362
+	31	167
+	32	105
+	33	51
+	34	43
+	35	24
+	36	40
+	37	17
+	38	14
+	39	11
+	40	16
+	41	9
+	42	8
+	43	6
+	44	6
+	45	2
+	46	4
+	47	1
+	48	2
+	50	1
+	51	2
+	52	2
+	53	1
+	56	2
+	57	2
+	59	1
+	60	1
+	61	1
+	69	1
+	71	1
+	87	1
+	98	1
+	113	1
-	30	372
-	31	158
-	32	97
-	33	52
-	34	39
-	35	34
-	36	19
-	37	20
-	38	15
-	39	21
-	40	7
-	41	3
-	42	14
-	43	2
-	44	6
-	45	6
-	46	4
-	47	1
-	49	1
-	50	1
-	51	1
-	54	4
-	55	2
-	57	2
-	61	1
-	64	1
-	65	2
-	66	1
-	68	1
-	71	1
-	74	1
-	77	1
-	81	1
-	87	1
-	98	1
-	186	1
