# table produced by DamageProfiler
# using mapped file RxA005.ReedbuckBh_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: RxA005.ReedbuckBh_Human_nc.Target.rmdup.noMicro.bam
pos	3pG>A
1	0.0392156862745098
2	0.0625
3	0.047619047619047616
4	0.0
5	0.027777777777777776
6	0.02702702702702703
7	0.03225806451612903
8	0.0
9	0.0
10	0.02040816326530612
11	0.0967741935483871
12	0.02631578947368421
13	0.043478260869565216
14	0.05128205128205128
15	0.027777777777777776
16	0.02857142857142857
17	0.046511627906976744
18	0.05
19	0.04878048780487805
20	0.0
21	0.025
22	0.02702702702702703
23	0.0
24	0.02857142857142857
25	0.05714285714285714
