# table produced by DamageProfiler
# using mapped file RxA007.ReedbuckBh_Human_nc.Target.rmdup.noMicro_BEST_012.bam
# Sample ID: RxA007.ReedbuckBh_Human_nc.Target.rmdup.noMicro_BEST_012.bam
pos	3pG>A
1	0.03661493695441319
2	0.030623348360018655
3	0.01744768079324975
4	0.01868728712142134
5	0.021929824561403508
6	0.020012981393336217
7	0.021227705438231752
8	0.017929110261444663
9	0.018716018402342115
10	0.01907608695652174
11	0.01743436323309434
12	0.01775296720981694
13	0.015380645161290323
14	0.017494968261340765
15	0.013546605533267336
16	0.015680535228935814
17	0.015055426656354731
18	0.015040671202742108
19	0.014292277065999694
20	0.014774058790564981
21	0.013552032804920738
22	0.01440966056116495
23	0.014874026105433574
24	0.01456063537317992
25	0.015052785775622569
