# table produced by DamageProfiler
# using mapped file RxA007.ReedbuckBh_Human_nc.Target.rmdup.noMicro_BEST_012.bam
# Sample ID: RxA007.ReedbuckBh_Human_nc.Target.rmdup.noMicro_BEST_012.bam
# Std: strand of reads
Std	Length	Occurrences
+	30	1109
+	31	1126
+	32	1207
+	33	1343
+	34	1359
+	35	1417
+	36	1506
+	37	1505
+	38	1408
+	39	1431
+	40	1436
+	41	1385
+	42	1315
+	43	1273
+	44	1212
+	45	1144
+	46	1065
+	47	1107
+	48	949
+	49	906
+	50	877
+	51	889
+	52	826
+	53	787
+	54	691
+	55	630
+	56	550
+	57	554
+	58	520
+	59	469
+	60	425
+	61	404
+	62	408
+	63	356
+	64	348
+	65	310
+	66	304
+	67	281
+	68	289
+	69	217
+	70	213
+	71	235
+	72	172
+	73	183
+	74	159
+	75	151
+	76	135
+	77	129
+	78	126
+	79	97
+	80	110
+	81	96
+	82	96
+	83	90
+	84	79
+	85	85
+	86	81
+	87	76
+	88	57
+	89	73
+	90	58
+	91	59
+	92	44
+	93	41
+	94	46
+	95	44
+	96	37
+	97	28
+	98	42
+	99	37
+	100	39
+	101	34
+	102	39
+	103	32
+	104	21
+	105	22
+	106	25
+	107	11
+	108	20
+	109	19
+	110	22
+	111	21
+	112	16
+	113	22
+	114	13
+	115	14
+	116	11
+	117	4
+	118	12
+	119	13
+	120	6
+	121	10
+	122	9
+	123	11
+	124	8
+	125	8
+	126	5
+	127	15
+	128	7
+	129	4
+	130	6
+	131	3
+	132	10
+	133	5
+	134	5
+	135	2
+	136	3
+	137	4
+	138	9
+	139	5
+	140	6
+	141	2
+	142	5
+	143	7
+	144	6
+	145	4
+	146	1
+	147	2
+	148	1
+	149	1
+	150	3
+	152	1
+	153	1
+	154	3
+	155	4
+	156	3
+	158	2
+	159	2
+	161	2
+	162	1
+	163	2
+	164	6
+	165	1
+	166	1
+	167	1
+	169	1
+	171	2
+	172	1
+	176	1
+	177	2
+	179	1
+	187	1
+	200	1
+	206	1
+	222	1
-	30	1100
-	31	1142
-	32	1284
-	33	1303
-	34	1348
-	35	1427
-	36	1400
-	37	1450
-	38	1496
-	39	1456
-	40	1414
-	41	1350
-	42	1361
-	43	1297
-	44	1231
-	45	1158
-	46	1157
-	47	1103
-	48	1040
-	49	981
-	50	921
-	51	796
-	52	807
-	53	697
-	54	653
-	55	590
-	56	583
-	57	561
-	58	534
-	59	456
-	60	429
-	61	398
-	62	398
-	63	357
-	64	344
-	65	325
-	66	275
-	67	277
-	68	250
-	69	254
-	70	200
-	71	225
-	72	178
-	73	198
-	74	180
-	75	158
-	76	144
-	77	153
-	78	143
-	79	119
-	80	127
-	81	106
-	82	95
-	83	91
-	84	94
-	85	73
-	86	80
-	87	84
-	88	74
-	89	73
-	90	57
-	91	57
-	92	61
-	93	46
-	94	44
-	95	55
-	96	37
-	97	45
-	98	36
-	99	45
-	100	30
-	101	22
-	102	22
-	103	24
-	104	32
-	105	32
-	106	29
-	107	22
-	108	21
-	109	20
-	110	15
-	111	17
-	112	28
-	113	15
-	114	12
-	115	19
-	116	18
-	117	11
-	118	13
-	119	17
-	120	6
-	121	7
-	122	12
-	123	4
-	124	10
-	125	8
-	126	4
-	127	8
-	128	6
-	129	8
-	130	6
-	131	6
-	132	4
-	133	6
-	134	5
-	135	5
-	136	3
-	137	2
-	138	3
-	139	7
-	140	3
-	141	7
-	142	3
-	143	2
-	144	2
-	145	3
-	146	2
-	147	1
-	148	5
-	149	2
-	150	2
-	151	3
-	152	1
-	153	2
-	154	2
-	155	1
-	157	2
-	161	4
-	162	1
-	164	3
-	165	1
-	166	3
-	167	1
-	168	1
-	169	4
-	174	1
-	176	1
-	177	1
-	178	1
-	185	1
-	204	1
-	220	1
-	234	1
