# table produced by DamageProfiler
# using mapped file RxA007.ReedbuckBh_Human_nc.Target.rmdup.noMicro_SCR_002.bam
# Sample ID: RxA007.ReedbuckBh_Human_nc.Target.rmdup.noMicro_SCR_002.bam
pos	3pG>A
1	0.026628875358667505
2	0.02236685305710881
3	0.018326938332766687
4	0.017949747398708554
5	0.017481776226741248
6	0.017528939286557996
7	0.017587267620703492
8	0.018240918443211095
9	0.01951946746177582
10	0.017053382254147074
11	0.0165192148189107
12	0.017627061023287437
13	0.016767397686064583
14	0.0158751952219953
15	0.016253869969040248
16	0.01593987022103515
17	0.01627610887443653
18	0.01635036496350365
19	0.016884401541767576
20	0.01590124132270971
21	0.016167314505864953
22	0.01626057702110307
23	0.016127655943339876
24	0.01622169651909429
25	0.01507759029613065
