# table produced by DamageProfiler
# using mapped file RxA007.ReedbuckBh_Human_nc.Target.rmdup.noMicro_SCR_002.bam
# Sample ID: RxA007.ReedbuckBh_Human_nc.Target.rmdup.noMicro_SCR_002.bam
pos	5pC>T
1	0.04968702544538687
2	0.034903113087674714
3	0.02309818489111107
4	0.019157686501119268
5	0.018304766540346972
6	0.018550504352632308
7	0.017715198355148423
8	0.020392369306969006
9	0.018942018942018943
10	0.02045818616949414
11	0.018344604248023623
12	0.019208759346864033
13	0.01956435193084229
14	0.019093033775633293
15	0.019191803341361776
16	0.01908116558985854
17	0.018033434250361986
18	0.018857387516521155
19	0.01811492181487113
20	0.018003088395917292
21	0.017786747646981158
22	0.01924100692067838
23	0.01876578162062897
24	0.018729406324064973
25	0.018418391162284112
