# table produced by DamageProfiler
# using mapped file RxA007.ReedbuckBh_Human_nc.Target.rmdup.noMicro_SCR_002.bam
# Sample ID: RxA007.ReedbuckBh_Human_nc.Target.rmdup.noMicro_SCR_002.bam
# Std: strand of reads
Std	Length	Occurrences
+	30	7583
+	31	7712
+	32	7268
+	33	7160
+	34	7017
+	35	6707
+	36	6360
+	37	5957
+	38	5763
+	39	5439
+	40	5245
+	41	4894
+	42	4639
+	43	4504
+	44	4179
+	45	3759
+	46	3687
+	47	3410
+	48	3119
+	49	3006
+	50	2808
+	51	2581
+	52	2369
+	53	2195
+	54	2119
+	55	1855
+	56	1694
+	57	1634
+	58	1497
+	59	1343
+	60	1228
+	61	1180
+	62	1029
+	63	989
+	64	980
+	65	864
+	66	812
+	67	697
+	68	638
+	69	608
+	70	566
+	71	533
+	72	483
+	73	471
+	74	443
+	75	402
+	76	388
+	77	314
+	78	306
+	79	318
+	80	248
+	81	243
+	82	246
+	83	226
+	84	201
+	85	175
+	86	165
+	87	159
+	88	135
+	89	146
+	90	121
+	91	110
+	92	105
+	93	103
+	94	99
+	95	83
+	96	90
+	97	73
+	98	95
+	99	67
+	100	64
+	101	79
+	102	67
+	103	53
+	104	54
+	105	53
+	106	40
+	107	36
+	108	48
+	109	52
+	110	39
+	111	38
+	112	26
+	113	31
+	114	34
+	115	38
+	116	37
+	117	18
+	118	20
+	119	13
+	120	24
+	121	19
+	122	16
+	123	16
+	124	17
+	125	17
+	126	10
+	127	15
+	128	10
+	129	11
+	130	10
+	131	11
+	132	8
+	133	9
+	134	8
+	135	3
+	136	4
+	137	8
+	138	6
+	139	6
+	140	6
+	141	4
+	142	5
+	143	1
+	144	4
+	145	11
+	146	4
+	147	3
+	148	2
+	149	4
+	151	2
+	152	1
+	154	4
+	155	3
+	156	3
+	157	3
+	159	3
+	160	1
+	162	1
+	163	2
+	164	2
+	165	1
+	167	1
+	169	2
+	172	1
+	173	3
+	174	1
+	178	1
+	179	1
+	181	3
+	184	1
+	185	1
+	188	1
+	191	1
+	195	1
+	201	2
+	202	1
+	205	1
+	210	1
+	211	1
+	220	1
+	224	1
+	252	1
-	30	7555
-	31	7532
-	32	7369
-	33	7122
-	34	6883
-	35	6613
-	36	6281
-	37	5913
-	38	5648
-	39	5320
-	40	4975
-	41	4844
-	42	4681
-	43	4411
-	44	4061
-	45	3871
-	46	3524
-	47	3400
-	48	3118
-	49	2942
-	50	2698
-	51	2462
-	52	2387
-	53	2122
-	54	2060
-	55	1864
-	56	1644
-	57	1580
-	58	1528
-	59	1338
-	60	1321
-	61	1184
-	62	1109
-	63	1040
-	64	926
-	65	859
-	66	795
-	67	721
-	68	615
-	69	596
-	70	570
-	71	527
-	72	487
-	73	481
-	74	447
-	75	379
-	76	377
-	77	327
-	78	288
-	79	286
-	80	288
-	81	266
-	82	237
-	83	196
-	84	188
-	85	177
-	86	181
-	87	153
-	88	172
-	89	139
-	90	139
-	91	115
-	92	113
-	93	95
-	94	104
-	95	98
-	96	83
-	97	85
-	98	71
-	99	77
-	100	59
-	101	59
-	102	57
-	103	49
-	104	57
-	105	42
-	106	60
-	107	44
-	108	49
-	109	47
-	110	39
-	111	23
-	112	33
-	113	28
-	114	35
-	115	22
-	116	26
-	117	22
-	118	22
-	119	19
-	120	16
-	121	17
-	122	18
-	123	12
-	124	14
-	125	18
-	126	17
-	127	10
-	128	12
-	129	5
-	130	13
-	131	12
-	132	6
-	133	11
-	134	5
-	135	6
-	136	5
-	137	7
-	138	3
-	139	7
-	140	7
-	141	5
-	142	4
-	143	6
-	144	4
-	145	5
-	146	2
-	147	4
-	148	2
-	149	1
-	150	4
-	151	4
-	152	4
-	155	5
-	156	2
-	157	4
-	158	3
-	159	2
-	161	2
-	162	1
-	163	2
-	164	1
-	166	1
-	167	1
-	173	3
-	174	2
-	175	1
-	176	1
-	179	1
-	182	1
-	188	2
-	198	1
-	200	1
-	204	1
-	217	1
