# table produced by DamageProfiler
# using mapped file ScA005.BuffaloCape_Human_nc.Target.rmdup.noMicro_BEST_017.bam
# Sample ID: ScA005.BuffaloCape_Human_nc.Target.rmdup.noMicro_BEST_017.bam
pos	3pG>A
1	0.027232961760970793
2	0.018156223965066505
3	0.011322002148701138
4	0.009616138388774204
5	0.01252806996808888
6	0.012123067503444053
7	0.010659125516641287
8	0.00994494761143669
9	0.008584469364930628
10	0.008524323986760757
11	0.007495407951650174
12	0.00803680624308427
13	0.007355340036183528
14	0.006965736909475188
15	0.006319997648372968
16	0.007026867434307647
17	0.006253704801422644
18	0.006456177589104095
19	0.005309992706053975
20	0.005876733346843065
21	0.00563063063063063
22	0.00532361195498076
23	0.005309988518943743
24	0.005268157872009673
25	0.004732675539238182
