# table produced by DamageProfiler
# using mapped file ScA005.BuffaloCape_Human_nc.Target.rmdup.noMicro_BEST_017.bam
# Sample ID: ScA005.BuffaloCape_Human_nc.Target.rmdup.noMicro_BEST_017.bam
pos	5pC>T
1	0.022695855430165633
2	0.02001484696208314
3	0.011684701945651294
4	0.01057405727614358
5	0.011852905443446825
6	0.011416295841644929
7	0.009818283826325469
8	0.008207734548428556
9	0.009019267072184102
10	0.008481134119540656
11	0.00720284614487344
12	0.007694968009683555
13	0.007679906199618936
14	0.007196780542255383
15	0.006116298309892448
16	0.006592307013155184
17	0.005935682012816348
18	0.0062550913534272085
19	0.005216937657594992
20	0.005285780669144981
21	0.0046999798160375994
22	0.0046248715313463515
23	0.005131733608554801
24	0.0046772951544363
25	0.004503987606862127
