# table produced by DamageProfiler
# using mapped file ScA005.BuffaloCape_Human_nc.Target.rmdup.noMicro_SCR_007.bam
# Sample ID: ScA005.BuffaloCape_Human_nc.Target.rmdup.noMicro_SCR_007.bam
pos	5pC>T
1	0.039628942982779046
2	0.023249634648598378
3	0.01427203898703333
4	0.011266048525608544
5	0.010466883252986794
6	0.009912217247649025
7	0.009497257197683392
8	0.010506222026189633
9	0.009771351811997168
10	0.009929752670861993
11	0.009595848863553314
12	0.00943261193175312
13	0.009558663671280528
14	0.00929396108333633
15	0.009083073178858314
16	0.009020969987512738
17	0.008761669668549122
18	0.008612255682589104
19	0.009173254993447675
20	0.009142865389888727
21	0.008481618384480931
22	0.00866307994909175
23	0.009013962236851624
24	0.008997345164927083
25	0.009234295453376725
