# table produced by DamageProfiler
# using mapped file ScA009.BuffaloCape_Human_nc.Target.rmdup.noMicro_SCR_008.bam
# Sample ID: ScA009.BuffaloCape_Human_nc.Target.rmdup.noMicro_SCR_008.bam
pos	3pG>A
1	0.015625
2	0.018518518518518517
3	0.04964539007092199
4	0.0078125
5	0.009009009009009009
6	0.01694915254237288
7	0.018018018018018018
8	0.008403361344537815
9	0.009433962264150943
10	0.017857142857142856
11	0.009174311926605505
12	0.01
13	0.017391304347826087
14	0.009009009009009009
15	0.008695652173913044
16	0.017391304347826087
17	0.008620689655172414
18	0.01818181818181818
19	0.019230769230769232
20	0.031496062992125984
21	0.015037593984962405
22	0.024793388429752067
23	0.008771929824561403
24	0.018691588785046728
25	0.008130081300813009
