# table produced by DamageProfiler
# using mapped file ScA026.BuffaloCape_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: ScA026.BuffaloCape_Human_nc.Target.rmdup.noMicro.bam
pos	3pG>A
1	0.017828200972447326
2	0.019704433497536946
3	0.0050968399592252805
4	0.009375
5	0.01001001001001001
6	0.0010111223458038423
7	0.007684918347742555
8	0.007561436672967864
9	0.009950248756218905
10	0.00667302192564347
11	0.012037037037037037
12	0.0047169811320754715
13	0.008395522388059701
14	0.006439742410303588
15	0.003925417075564278
16	0.011374407582938388
17	0.0065420560747663555
18	0.006445672191528545
19	0.0038797284190106693
20	0.0018570102135561746
21	0.006679389312977099
22	0.007428040854224698
23	0.003976143141153081
24	0.007319304666056725
25	0.000999000999000999
