# table produced by DamageProfiler
# using mapped file ScA047.BuffaloCape_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: ScA047.BuffaloCape_Human_nc.Target.rmdup.noMicro.bam
# Std: strand of reads
Std	Length	Occurrences
+	30	5068
+	31	5386
+	32	5730
+	33	6016
+	34	6480
+	35	6957
+	36	7035
+	37	7173
+	38	7539
+	39	7780
+	40	7851
+	41	8320
+	42	8375
+	43	8339
+	44	8479
+	45	8407
+	46	8648
+	47	8573
+	48	8825
+	49	8700
+	50	8873
+	51	8858
+	52	8815
+	53	8838
+	54	8606
+	55	8610
+	56	8659
+	57	8488
+	58	8577
+	59	8280
+	60	8360
+	61	8024
+	62	7982
+	63	7935
+	64	7895
+	65	7736
+	66	7528
+	67	7358
+	68	7372
+	69	7298
+	70	6941
+	71	6874
+	72	6759
+	73	6573
+	74	6296
+	75	6389
+	76	6146
+	77	5855
+	78	5905
+	79	5704
+	80	5403
+	81	5411
+	82	5242
+	83	5029
+	84	4929
+	85	4792
+	86	4764
+	87	4499
+	88	4393
+	89	4204
+	90	4134
+	91	4081
-	30	5194
-	31	5446
-	32	5866
-	33	6206
-	34	6538
-	35	6685
-	36	7064
-	37	7446
-	38	7550
-	39	7633
-	40	8031
-	41	8208
-	42	8398
-	43	8366
-	44	8622
-	45	8672
-	46	8568
-	47	8508
-	48	8883
-	49	8721
-	50	8799
-	51	8923
-	52	8799
-	53	8698
-	54	8714
-	55	8658
-	56	8551
-	57	8436
-	58	8477
-	59	8369
-	60	8236
-	61	8208
-	62	8062
-	63	7897
-	64	7824
-	65	7870
-	66	7651
-	67	7589
-	68	7309
-	69	7194
-	70	6985
-	71	6953
-	72	6757
-	73	6755
-	74	6418
-	75	6367
-	76	6157
-	77	5996
-	78	5647
-	79	5774
-	80	5523
-	81	5352
-	82	5214
-	83	5123
-	84	4881
-	85	4790
-	86	4621
-	87	4575
-	88	4312
-	89	4238
-	90	4124
-	91	4051
