# table produced by DamageProfiler
# using mapped file ToA003.ElandCommon_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: ToA003.ElandCommon_Human_nc.Target.rmdup.noMicro.bam
# Std: strand of reads
Std	Length	Occurrences
+	30	81
+	31	44
+	32	56
+	33	28
+	34	31
+	35	26
+	36	29
+	37	27
+	38	18
+	39	17
+	40	16
+	41	12
+	42	16
+	43	15
+	44	11
+	45	20
+	46	6
+	47	11
+	48	5
+	49	10
+	50	10
+	51	7
+	52	8
+	53	6
+	54	5
+	55	2
+	56	5
+	57	2
+	58	3
+	59	1
+	60	6
+	62	3
+	63	3
+	64	4
+	65	3
+	66	1
+	67	2
+	68	1
+	69	1
+	70	1
+	71	3
+	73	3
+	74	2
+	75	2
+	76	2
+	77	2
+	80	2
+	85	1
+	87	1
+	91	1
+	92	2
+	101	2
+	106	1
+	112	1
+	120	1
+	139	1
-	30	47
-	31	52
-	32	38
-	33	34
-	34	38
-	35	30
-	36	23
-	37	17
-	38	13
-	39	23
-	40	16
-	41	16
-	42	15
-	43	18
-	44	8
-	45	9
-	46	4
-	47	18
-	48	10
-	49	7
-	50	10
-	51	5
-	52	8
-	53	5
-	54	7
-	55	3
-	56	3
-	57	4
-	58	6
-	59	2
-	60	6
-	61	2
-	62	10
-	63	4
-	64	2
-	65	2
-	66	2
-	67	1
-	68	1
-	69	3
-	70	3
-	71	1
-	72	1
-	74	1
-	77	3
-	79	1
-	80	1
-	84	5
-	86	1
-	92	2
-	95	1
-	98	1
-	100	1
-	105	3
-	109	1
-	120	1
