# table produced by DamageProfiler
# using mapped file ToA005.ElandCommon_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: ToA005.ElandCommon_Human_nc.Target.rmdup.noMicro.bam
pos	3pG>A
1	0.0058823529411764705
2	0.009074410163339383
3	0.00778816199376947
4	0.0035714285714285713
5	0.003424657534246575
6	0.00510204081632653
7	0.0
8	0.0057361376673040155
9	0.0
10	0.001953125
11	0.007366482504604052
12	0.0018115942028985507
13	0.0
14	0.007312614259597806
15	0.0037174721189591076
16	0.003875968992248062
17	0.0055147058823529415
18	0.003669724770642202
19	0.003952569169960474
20	0.003656307129798903
21	0.005628517823639775
22	0.0018796992481203006
23	0.0035587188612099642
24	0.0
25	0.007352941176470588
