# table produced by DamageProfiler
# using mapped file ToA008.ElandCommon_Human_nc.Target.rmdup.noMicro_SCR_009.bam
# Sample ID: ToA008.ElandCommon_Human_nc.Target.rmdup.noMicro_SCR_009.bam
pos	3pG>A
1	0.03571428571428571
2	0.030303030303030304
3	0.02631578947368421
4	0.05128205128205128
5	0.0
6	0.027777777777777776
7	0.029411764705882353
8	0.02702702702702703
9	0.0
10	0.0
11	0.0
12	0.038461538461538464
13	0.0
14	0.06818181818181818
15	0.02040816326530612
16	0.0
17	0.0625
18	0.0
19	0.0
20	0.0
21	0.0
22	0.0
23	0.020833333333333332
24	0.05
25	0.0
