# table produced by DamageProfiler
# using mapped file ToA008.ElandCommon_Human_nc.Target.rmdup.noMicro_SCR_009.bam
# Sample ID: ToA008.ElandCommon_Human_nc.Target.rmdup.noMicro_SCR_009.bam
pos	5pC>T
1	0.0
2	0.02040816326530612
3	0.01694915254237288
4	0.0
5	0.0
6	0.0
7	0.0
8	0.0
9	0.0
10	0.0
11	0.0425531914893617
12	0.0
13	0.0
14	0.0
15	0.044444444444444446
16	0.0
17	0.022727272727272728
18	0.0
19	0.0
20	0.023255813953488372
21	0.02040816326530612
22	0.021739130434782608
23	0.0
24	0.022727272727272728
25	0.041666666666666664
