# table produced by DamageProfiler
# using mapped file ToA029.ElandCommon_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: ToA029.ElandCommon_Human_nc.Target.rmdup.noMicro.bam
pos	5pC>T
1	0.02934821750090025
2	0.011650074136835416
3	0.005753739930955121
4	0.004753755466818787
5	0.004634994206257242
6	0.004496578690127077
7	0.003442689347914135
8	0.003760183831209526
9	0.003766478342749529
10	0.004214328717639976
11	0.004836525440123815
12	0.004147738494963461
13	0.003964321110009911
14	0.004702194357366771
15	0.005155661312710688
16	0.004435017354415735
17	0.005211465223491682
18	0.0044742729306487695
19	0.0016161616161616162
20	0.0037661050545094153
21	0.004763795156808257
22	0.004300234558248631
23	0.005322294500295683
24	0.00397456279809221
25	0.0034644385571632364
