# table produced by DamageProfiler
# using mapped file PcA005.ReedbuckBh_Human_nc.Target.rmdup.noMicro_SCR_001.bam
# Sample ID: PcA005.ReedbuckBh_Human_nc.Target.rmdup.noMicro_SCR_001.bam
pos	3pG>A
1	0.0380952380952381
2	0.036585365853658534
3	0.009009009009009009
4	0.06796116504854369
5	0.0
6	0.008547008547008548
7	0.037037037037037035
8	0.018691588785046728
9	0.018018018018018018
10	0.020618556701030927
11	0.009708737864077669
12	0.04854368932038835
13	0.02586206896551724
14	0.0
15	0.032520325203252036
16	0.021052631578947368
17	0.05042016806722689
18	0.0423728813559322
19	0.0
20	0.01904761904761905
21	0.009615384615384616
22	0.009259259259259259
23	0.03529411764705882
24	0.07079646017699115
25	0.02857142857142857
