# table produced by DamageProfiler
# using mapped file PaA027.BuffaloCape_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: PaA027.BuffaloCape_Human_nc.Target.rmdup.noMicro.bam
pos	3pG>A
1	0.07518796992481203
2	0.05263157894736842
3	0.013333333333333334
4	0.023809523809523808
5	0.018292682926829267
6	0.03910614525139665
7	0.011299435028248588
8	0.03763440860215054
9	0.027932960893854747
10	0.015
11	0.024242424242424242
12	0.030456852791878174
13	0.0064516129032258064
14	0.031914893617021274
15	0.021621621621621623
16	0.04838709677419355
17	0.04864864864864865
18	0.041025641025641026
19	0.022727272727272728
20	0.0446927374301676
21	0.046242774566473986
22	0.019230769230769232
23	0.010638297872340425
24	0.014778325123152709
25	0.023696682464454975
